invoice_number,invoice_date,invoice_month,due_date,net_terms,payment_due_days,currency,vendor_id,vendor_name,vendor_address,vendor_email,tax_id,vendor_category,buyer_company,buyer_address,num_line_items,subtotal,tax_rate,tax_amount,amount_due,payment_received_date,is_late,epsilon
INV-2022-0233,2021-01-01,1,2021-01-28,Net 27,27,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,8760.81,8.0,700.86,194105.32,2021-01-28,0,0.5
INV-2023-0018,2021-01-01,1,2021-04-01,Net 90,90,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,24308.16,8.5,2066.19,1.0,2021-04-01,0,0.5
INV-2023-0153,2025-12-31,12,2026-01-01,Net 1,1,USD,V080,Vanguard Legal Group,"3154 Innovation Rd, Houston, NY 44911",billing@vanguard-legal.com,XN-8021855,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,28252.67,8.5,2401.48,89707.56,2026-01-01,0,0.5
INV-2022-0004,2025-12-31,12,2026-01-01,Net 1,1,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",32,13856.13,8.0,1108.49,1.0,2026-01-20,1,0.5
INV-2023-0004,2024-01-05,1,2024-04-04,Net 90,90,USD,V022,Acme Capital Inc,"8802 Corporate Ln, Atlanta, FL 45909",billing@acme-capital.com,SL-9415398,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,37423.3,7.0,2619.63,1.0,2024-04-04,0,0.5
INV-2022-0219,2024-05-23,5,2024-08-17,Net 86,86,USD,V031,Titan Capital LLC,"2971 Industrial Dr, San Francisco, GA 11015",billing@titan-capital.com,AV-9416320,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",7,22289.85,8.0,1783.19,1.0,2024-09-19,1,0.5
INV-2022-0104,2022-01-11,1,2022-02-21,Net 41,41,USD,V018,Beacon Partners Group,"7292 Market St, San Francisco, FL 70566",billing@beacon-partners.com,PY-1787494,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,3595.84,8.0,287.67,107155.58,2022-02-21,0,0.5
INV-2022-0190,2021-01-01,1,2021-03-30,Net 88,88,USD,V075,Titan Energy Co,"6804 Corporate Ln, Dallas, GA 12482",billing@titan-energy.com,XS-8433533,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,9087.26,8.5,772.42,1.0,2021-03-30,0,0.5
INV-2023-0055,2024-04-09,4,2024-04-10,Net 1,1,USD,V047,Elite Energy Inc,"6329 Venture Blvd, Atlanta, TX 13596",billing@elite-energy.com,TY-1467010,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,20790.29,8.5,1767.17,1.0,2024-04-10,0,0.5
INV-2023-0245,2024-12-15,12,2024-12-16,Net 1,1,USD,V009,Nexus Cloud Inc,"9187 Market St, Chicago, CA 21938",billing@nexus-cloud.com,AA-2404330,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,10545.35,8.0,843.63,1.0,2024-12-19,1,0.5
INV-2024-0164,2025-12-31,12,2026-03-31,Net 90,90,USD,V077,Pioneer Data LLC,"6745 Commerce Blvd, Houston, OH 35522",billing@pioneer-data.com,DA-6517366,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,29497.6,8.5,2507.3,217070.97,2026-04-17,1,0.5
INV-2023-0160,2023-09-27,9,2023-09-28,Net 1,1,USD,V051,Summit Cloud Inc,"8534 Innovation Rd, San Francisco, FL 19111",billing@summit-cloud.com,FB-8643603,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,13335.19,8.5,1133.49,1.0,2023-10-03,1,0.5
INV-2023-0026,2021-01-01,1,2021-04-01,Net 90,90,USD,V093,Delta Labs Corp,"7201 Industrial Dr, Atlanta, AZ 11524",billing@delta-labs.com,II-7984720,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",45,24304.85,8.25,2005.15,520097.95,2021-04-01,0,0.5
INV-2024-0069,2021-01-01,1,2021-01-02,Net 1,1,USD,V005,Apex Logistics Co,"7104 Corporate Ln, Austin, AZ 77215",billing@apex-logistics.com,SE-9744220,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",39,31742.95,8.5,2698.15,22146.53,2021-01-02,0,0.5
INV-2024-0178,2025-12-31,12,2026-03-31,Net 90,90,USD,V035,Pioneer Parts Co,"816 Market St, Dallas, TX 55543",billing@pioneer-parts.com,BH-9896761,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",13,38392.89,8.5,3263.4,39295.57,2026-05-14,1,0.5
INV-2022-0127,2021-01-01,1,2021-01-08,Net 7,7,USD,V060,Elite Parts Co,"6665 Commerce Blvd, Miami, TX 29096",billing@elite-parts.com,QA-4681262,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",29,33019.28,8.0,2641.54,44230.94,2021-02-01,1,0.5
INV-2022-0048,2023-04-08,4,2023-06-02,Net 55,55,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,12725.45,8.0,1018.04,1.0,2023-06-02,0,0.5
INV-2024-0155,2021-06-22,6,2021-06-23,Net 1,1,USD,V010,Prime Cloud Group,"8102 Commerce Blvd, Dallas, WA 79449",billing@prime-cloud.com,KL-3248988,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,38090.21,7.0,2666.31,1.0,2021-06-23,0,0.5
INV-2023-0248,2021-01-01,1,2021-04-01,Net 90,90,USD,V070,Swift Logistics Inc,"1954 Business Pkwy, Miami, NY 73374",billing@swift-logistics.com,UO-1318408,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",32,24634.77,7.5,1847.61,47909.1,2021-05-14,1,0.5
INV-2024-0063,2024-01-12,1,2024-01-13,Net 1,1,USD,V057,Pioneer Consulting Inc,"1704 Industrial Dr, San Francisco, WA 80792",billing@pioneer-consulting.com,BL-2384418,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,16101.88,7.5,1207.64,1.0,2024-01-28,1,0.5
INV-2022-0010,2025-04-22,4,2025-06-08,Net 47,47,USD,V082,Acme Labs Inc,"2298 Enterprise Ave, Austin, NY 23859",billing@acme-labs.com,RB-3008960,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,48188.02,9.0,4336.92,68247.11,2025-06-08,0,0.5
INV-2024-0273,2025-02-16,2,2025-02-17,Net 1,1,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,39491.79,8.5,3356.8,1.0,2025-02-17,0,0.5
INV-2022-0150,2021-01-01,1,2021-01-02,Net 1,1,USD,V058,Alpha Parts Inc,"5515 Business Pkwy, Chicago, CO 68596",billing@alpha-parts.com,NC-1873172,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,7675.77,9.0,690.82,171722.22,2021-01-26,1,0.5
INV-2023-0145,2022-09-11,9,2022-11-05,Net 55,55,USD,V049,Global Freight Corp,"2572 Enterprise Ave, New York, FL 64553",billing@global-freight.com,BX-2314532,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,48614.26,8.0,3889.14,54278.14,2022-12-16,1,0.5
INV-2024-0033,2025-08-31,8,2025-10-29,Net 59,59,USD,V033,Nexus Tech Inc,"504 Corporate Ln, New York, TX 70100",billing@nexus-tech.com,EF-4196340,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,21190.5,6.25,1324.41,367052.77,2025-10-29,0,0.5
INV-2024-0108,2022-04-15,4,2022-07-02,Net 78,78,USD,V033,Nexus Tech Inc,"504 Corporate Ln, New York, TX 70100",billing@nexus-tech.com,EF-4196340,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,20496.9,7.5,1537.27,1.0,2022-07-24,1,0.5
INV-2022-0151,2025-01-08,1,2025-01-09,Net 1,1,USD,V049,Global Freight Corp,"2572 Enterprise Ave, New York, FL 64553",billing@global-freight.com,BX-2314532,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,4545.4,8.5,386.36,1.0,2025-01-09,0,0.5
INV-2024-0075,2025-12-31,12,2026-01-01,Net 1,1,USD,V074,Summit Systems LLC,"5688 Commerce Blvd, Miami, TX 56163",billing@summit-systems.com,IQ-3412149,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,47312.06,6.25,2957.0,1.0,2026-01-01,0,0.5
INV-2022-0146,2022-06-19,6,2022-06-20,Net 1,1,USD,V098,Titan Supplies Co,"3257 Venture Blvd, Miami, IL 34070",billing@titan-supplies.com,IS-9593223,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,23278.03,9.0,2095.02,1.0,2022-06-20,0,0.5
INV-2024-0154,2024-07-04,7,2024-10-02,Net 90,90,USD,V088,Sterling Tech Group,"1722 Enterprise Ave, Seattle, OH 71396",billing@sterling-tech.com,YF-8369434,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,6040.83,7.5,453.06,41808.79,2024-10-02,0,0.5
INV-2024-0020,2022-06-04,6,2022-06-05,Net 1,1,USD,V064,Swift Labs Inc,"6128 Market St, Chicago, FL 50631",billing@swift-labs.com,OH-7356228,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",20,10467.51,9.0,942.08,22626.96,2022-06-05,0,0.5
INV-2023-0105,2021-01-01,1,2021-02-13,Net 43,43,USD,V026,Titan Partners Co,"5010 Enterprise Ave, New York, IL 71642",billing@titan-partners.com,ED-1423570,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,37959.2,8.5,3226.53,1.0,2021-03-25,1,0.5
INV-2022-0168,2023-04-23,4,2023-07-22,Net 90,90,USD,V085,Nexus Security Inc,"3286 Commerce Blvd, Atlanta, WA 70774",billing@nexus-security.com,IV-3245909,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,43593.63,7.5,3269.52,141964.96,2023-07-22,0,0.5
INV-2022-0045,2022-10-11,10,2023-01-09,Net 90,90,USD,V040,Elite Tech Co,"6369 Tech Park Way, Atlanta, GA 90719",billing@elite-tech.com,KV-2072647,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,1844.79,6.25,115.3,1.0,2023-01-12,1,0.5
INV-2024-0264,2025-12-31,12,2026-01-01,Net 1,1,USD,V072,Elite Supplies LLC,"8170 Industrial Dr, Houston, TX 16783",billing@elite-supplies.com,KL-1996530,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,19841.05,7.5,1488.08,214090.98,2026-01-24,1,0.5
INV-2023-0262,2024-08-11,8,2024-08-12,Net 1,1,USD,V089,Delta Energy Group,"6236 Enterprise Ave, Miami, AZ 69052",billing@delta-energy.com,QZ-9752084,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",34,5123.69,8.25,422.7,45815.9,2024-08-12,0,0.5
INV-2023-0229,2025-12-31,12,2026-01-01,Net 1,1,USD,V012,Beacon Tech LLC,"517 Tech Park Way, Atlanta, GA 13267",billing@beacon-tech.com,ZU-3922097,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,14713.33,8.0,1177.07,33580.3,2026-01-01,0,0.5
INV-2024-0248,2025-10-04,10,2025-12-06,Net 63,63,USD,V085,Nexus Security Inc,"3286 Commerce Blvd, Atlanta, WA 70774",billing@nexus-security.com,IV-3245909,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,20100.54,8.5,1708.55,60017.07,2025-12-06,0,0.5
INV-2023-0040,2024-05-15,5,2024-08-03,Net 80,80,USD,V042,Summit Capital Co,"5685 Venture Blvd, New York, IL 49749",billing@summit-capital.com,AE-3245131,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",22,28112.1,7.0,1967.85,296359.14,2024-08-06,1,0.5
INV-2023-0230,2021-01-01,1,2021-02-16,Net 46,46,USD,V003,Global Logistics LLC,"9032 Venture Blvd, San Francisco, GA 11150",billing@global-logistics.com,IL-7095929,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,8858.28,8.5,752.95,1.0,2021-02-17,1,0.5
INV-2024-0088,2021-06-21,6,2021-07-03,Net 12,12,USD,V008,Apex Security LLC,"9923 Commerce Blvd, Chicago, IL 26364",billing@apex-security.com,DP-2100567,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,8029.16,8.0,642.33,38957.41,2021-07-03,0,0.5
INV-2022-0049,2025-12-31,12,2026-01-01,Net 1,1,USD,V019,Pioneer Marketing Co,"5261 Venture Blvd, Miami, AZ 19348",billing@pioneer-marketing.com,CW-3276360,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",43,40278.38,8.5,3423.66,1.0,2026-01-02,1,0.5
INV-2022-0143,2024-12-01,12,2025-02-25,Net 86,86,USD,V063,Bright Capital Inc,"1050 Commerce Blvd, Los Angeles, OH 69201",billing@bright-capital.com,JE-8583354,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",15,16489.05,8.0,1319.12,6896.19,2025-02-25,0,0.5
INV-2022-0005,2021-01-01,1,2021-02-23,Net 53,53,USD,V095,Pacific Supplies Group,"2422 Enterprise Ave, Dallas, TX 59481",billing@pacific-supplies.com,YW-8599600,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,28207.91,6.25,1762.99,1.0,2021-03-15,1,0.5
INV-2022-0117,2021-01-01,1,2021-03-21,Net 79,79,USD,V034,Summit Ventures Co,"4909 Venture Blvd, Austin, TX 66397",billing@summit-ventures.com,IN-7195200,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,48686.14,8.0,3894.89,45182.44,2021-03-21,0,0.5
INV-2024-0039,2025-12-31,12,2026-01-01,Net 1,1,USD,V050,Alpha Logistics Inc,"1560 Business Pkwy, San Francisco, OH 11605",billing@alpha-logistics.com,WP-3255363,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,38099.33,6.25,2381.21,1.0,2026-02-14,1,0.5
INV-2024-0119,2025-01-19,1,2025-04-19,Net 90,90,USD,V073,Acme Systems Group,"3672 Innovation Rd, Dallas, TX 47148",billing@acme-systems.com,KV-6786265,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,41053.13,8.0,3284.25,40352.48,2025-05-15,1,0.5
INV-2022-0223,2024-05-28,5,2024-08-26,Net 90,90,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",23,12373.77,8.0,989.9,1.0,2024-08-26,0,0.5
INV-2023-0156,2021-01-01,1,2021-04-01,Net 90,90,USD,V051,Summit Cloud Inc,"8534 Innovation Rd, San Francisco, FL 19111",billing@summit-cloud.com,FB-8643603,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",22,37566.9,6.25,2347.93,138492.4,2021-04-01,0,0.5
INV-2024-0165,2025-12-31,12,2026-01-01,Net 1,1,USD,V022,Acme Capital Inc,"8802 Corporate Ln, Atlanta, FL 45909",billing@acme-capital.com,SL-9415398,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,40406.7,8.5,3434.57,5564.34,2026-01-01,0,0.5
INV-2023-0195,2023-11-19,11,2023-12-26,Net 37,37,USD,V035,Pioneer Parts Co,"816 Market St, Dallas, TX 55543",billing@pioneer-parts.com,BH-9896761,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,37095.09,7.0,2596.66,1.0,2024-02-04,1,0.5
INV-2024-0204,2021-03-30,3,2021-06-28,Net 90,90,USD,V028,Pioneer Systems LLC,"5163 Business Pkwy, Chicago, IL 39703",billing@pioneer-systems.com,ZD-7655623,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,8773.03,8.0,701.84,1.0,2021-07-06,1,0.5
INV-2024-0146,2021-01-01,1,2021-04-01,Net 90,90,USD,V087,Bright Energy LLC,"5575 Trade Center Dr, New York, CA 49952",billing@bright-energy.com,EY-6888997,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",26,34860.45,6.25,2178.78,1.0,2021-04-16,1,0.5
INV-2024-0005,2021-01-01,1,2021-01-02,Net 1,1,USD,V063,Bright Capital Inc,"1050 Commerce Blvd, Los Angeles, OH 69201",billing@bright-capital.com,JE-8583354,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,38276.19,8.25,3157.79,89602.74,2021-01-02,0,0.5
INV-2022-0123,2021-04-20,4,2021-07-19,Net 90,90,USD,V014,Swift Parts Inc,"3067 Tech Park Way, Dallas, NY 95999",billing@swift-parts.com,DR-1070640,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",40,12021.78,6.25,751.36,1.0,2021-07-19,0,0.5
INV-2023-0120,2023-12-26,12,2024-03-25,Net 90,90,USD,V077,Pioneer Data LLC,"6745 Commerce Blvd, Houston, OH 35522",billing@pioneer-data.com,DA-6517366,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,32713.04,8.5,2780.61,1.0,2024-03-25,0,0.5
INV-2022-0038,2021-01-01,1,2021-03-13,Net 71,71,USD,V023,Titan Marketing LLC,"6077 Tech Park Way, Miami, NY 96188",billing@titan-marketing.com,MR-5984445,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,22629.25,8.5,1923.49,171259.4,2021-03-21,1,0.5
INV-2024-0167,2025-09-03,9,2025-12-02,Net 90,90,USD,V062,Vanguard Security LLC,"5667 Market St, Dallas, FL 35053",billing@vanguard-security.com,GD-7867100,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",4,48851.62,8.5,4152.39,121262.31,2025-12-02,0,0.5
