invoice_number,invoice_date,invoice_month,due_date,net_terms,payment_due_days,currency,vendor_id,vendor_name,vendor_address,vendor_email,tax_id,vendor_category,buyer_company,buyer_address,num_line_items,subtotal,tax_rate,tax_amount,amount_due,payment_received_date,is_late
INV-2024-0149,2024-07-14,7,2024-09-12,Net 60,60,USD,V070,Swift Logistics Inc,"1954 Business Pkwy, Miami, NY 73374",billing@swift-logistics.com,UO-1318408,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,49818.55,8.0,3985.48,53804.03,2024-09-16,1
INV-2024-0145,2024-07-09,7,2024-08-08,Net 30,30,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",3,7322.23,8.5,622.39,7944.62,2024-08-08,0
INV-2022-0233,2022-12-06,12,2023-01-05,Net 30,30,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",6,8760.81,8.0,700.86,9461.67,2023-01-05,0
INV-2023-0018,2023-01-24,1,2023-02-08,Net 15,15,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",7,24308.16,8.5,2066.19,26374.35,2023-02-08,0
INV-2023-0153,2023-07-31,7,2023-08-30,Net 30,30,USD,V080,Vanguard Legal Group,"3154 Innovation Rd, Houston, NY 44911",billing@vanguard-legal.com,XN-8021855,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",20,28252.67,8.5,2401.48,30654.15,2023-08-30,0
INV-2022-0004,2022-01-03,1,2022-02-02,Net 30,30,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,13856.13,8.0,1108.49,14964.62,2022-02-21,1
INV-2023-0004,2023-01-11,1,2023-03-12,Net 60,60,USD,V022,Acme Capital Inc,"8802 Corporate Ln, Atlanta, FL 45909",billing@acme-capital.com,SL-9415398,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",13,37423.3,7.0,2619.63,40042.93,2023-03-12,0
INV-2022-0219,2022-11-20,11,2023-01-19,Net 60,60,USD,V031,Titan Capital LLC,"2971 Industrial Dr, San Francisco, GA 11015",billing@titan-capital.com,AV-9416320,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,22289.85,8.0,1783.19,24073.04,2023-02-21,1
INV-2022-0104,2022-05-26,5,2022-07-10,Net 45,45,USD,V018,Beacon Partners Group,"7292 Market St, San Francisco, FL 70566",billing@beacon-partners.com,PY-1787494,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",20,3595.84,8.0,287.67,3883.51,2022-07-10,0
INV-2022-0190,2022-10-20,10,2022-11-04,Net 15,15,USD,V075,Titan Energy Co,"6804 Corporate Ln, Dallas, GA 12482",billing@titan-energy.com,XS-8433533,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",13,9087.26,8.5,772.42,9859.68,2022-11-04,0
INV-2023-0055,2023-03-08,3,2023-04-22,Net 45,45,USD,V047,Elite Energy Inc,"6329 Venture Blvd, Atlanta, TX 13596",billing@elite-energy.com,TY-1467010,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",15,20790.29,8.5,1767.17,22557.46,2023-04-22,0
INV-2023-0245,2023-12-06,12,2024-01-05,Net 30,30,USD,V009,Nexus Cloud Inc,"9187 Market St, Chicago, CA 21938",billing@nexus-cloud.com,AA-2404330,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",16,10545.35,8.0,843.63,11388.98,2024-01-08,1
INV-2024-0164,2024-08-06,8,2024-09-20,Net 45,45,USD,V077,Pioneer Data LLC,"6745 Commerce Blvd, Houston, OH 35522",billing@pioneer-data.com,DA-6517366,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",17,29497.6,8.5,2507.3,32004.9,2024-10-07,1
INV-2023-0160,2023-08-08,8,2023-08-23,Net 15,15,USD,V051,Summit Cloud Inc,"8534 Innovation Rd, San Francisco, FL 19111",billing@summit-cloud.com,FB-8643603,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,13335.19,8.5,1133.49,14468.68,2023-08-28,1
INV-2023-0026,2023-02-03,2,2023-04-04,Net 60,60,USD,V093,Delta Labs Corp,"7201 Industrial Dr, Atlanta, AZ 11524",billing@delta-labs.com,II-7984720,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,24304.85,8.25,2005.15,26310.0,2023-04-04,0
INV-2024-0069,2024-03-27,3,2024-05-26,Net 60,60,USD,V005,Apex Logistics Co,"7104 Corporate Ln, Austin, AZ 77215",billing@apex-logistics.com,SE-9744220,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",6,31742.95,8.5,2698.15,34441.1,2024-05-26,0
INV-2024-0178,2024-08-21,8,2024-09-05,Net 15,15,USD,V035,Pioneer Parts Co,"816 Market St, Dallas, TX 55543",billing@pioneer-parts.com,BH-9896761,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",4,38392.89,8.5,3263.4,41656.29,2024-10-19,1
INV-2022-0127,2022-07-06,7,2022-07-21,Net 15,15,USD,V060,Elite Parts Co,"6665 Commerce Blvd, Miami, TX 29096",billing@elite-parts.com,QA-4681262,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",20,33019.28,8.0,2641.54,35660.82,2022-08-14,1
INV-2022-0048,2022-03-02,3,2022-04-01,Net 30,30,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",7,12725.45,8.0,1018.04,13743.49,2022-04-01,0
INV-2024-0155,2024-07-27,7,2024-09-25,Net 60,60,USD,V010,Prime Cloud Group,"8102 Commerce Blvd, Dallas, WA 79449",billing@prime-cloud.com,KL-3248988,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",16,38090.21,7.0,2666.31,40756.52,2024-09-25,0
INV-2023-0248,2023-12-11,12,2024-02-09,Net 60,60,USD,V070,Swift Logistics Inc,"1954 Business Pkwy, Miami, NY 73374",billing@swift-logistics.com,UO-1318408,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",9,24634.77,7.5,1847.61,26482.38,2024-03-23,1
INV-2024-0063,2024-03-17,3,2024-04-01,Net 15,15,USD,V057,Pioneer Consulting Inc,"1704 Industrial Dr, San Francisco, WA 80792",billing@pioneer-consulting.com,BL-2384418,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",4,16101.88,7.5,1207.64,17309.52,2024-04-16,1
INV-2022-0010,2022-01-11,1,2022-03-12,Net 60,60,USD,V082,Acme Labs Inc,"2298 Enterprise Ave, Austin, NY 23859",billing@acme-labs.com,RB-3008960,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",11,48188.02,9.0,4336.92,52524.94,2022-03-12,0
INV-2024-0273,2024-12-21,12,2025-01-20,Net 30,30,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,39491.79,8.5,3356.8,42848.59,2025-01-20,0
INV-2022-0150,2022-08-14,8,2022-08-29,Net 15,15,USD,V058,Alpha Parts Inc,"5515 Business Pkwy, Chicago, CO 68596",billing@alpha-parts.com,NC-1873172,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,7675.77,9.0,690.82,8366.59,2022-09-22,1
INV-2023-0145,2023-07-18,7,2023-09-01,Net 45,45,USD,V049,Global Freight Corp,"2572 Enterprise Ave, New York, FL 64553",billing@global-freight.com,BX-2314532,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,48614.26,8.0,3889.14,52503.4,2023-10-12,1
INV-2024-0033,2024-02-11,2,2024-03-12,Net 30,30,USD,V033,Nexus Tech Inc,"504 Corporate Ln, New York, TX 70100",billing@nexus-tech.com,EF-4196340,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",4,21190.5,6.25,1324.41,22514.91,2024-03-12,0
INV-2024-0108,2024-06-03,6,2024-06-18,Net 15,15,USD,V033,Nexus Tech Inc,"504 Corporate Ln, New York, TX 70100",billing@nexus-tech.com,EF-4196340,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",2,20496.9,7.5,1537.27,22034.17,2024-07-10,1
INV-2022-0151,2022-08-14,8,2022-08-29,Net 15,15,USD,V049,Global Freight Corp,"2572 Enterprise Ave, New York, FL 64553",billing@global-freight.com,BX-2314532,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",2,4545.4,8.5,386.36,4931.76,2022-08-29,0
INV-2024-0075,2024-04-04,4,2024-04-19,Net 15,15,USD,V074,Summit Systems LLC,"5688 Commerce Blvd, Miami, TX 56163",billing@summit-systems.com,IQ-3412149,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,47312.06,6.25,2957.0,50269.06,2024-04-19,0
INV-2022-0146,2022-08-06,8,2022-10-05,Net 60,60,USD,V098,Titan Supplies Co,"3257 Venture Blvd, Miami, IL 34070",billing@titan-supplies.com,IS-9593223,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",16,23278.03,9.0,2095.02,25373.05,2022-10-05,0
INV-2024-0154,2024-07-25,7,2024-09-08,Net 45,45,USD,V088,Sterling Tech Group,"1722 Enterprise Ave, Seattle, OH 71396",billing@sterling-tech.com,YF-8369434,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,6040.83,7.5,453.06,6493.89,2024-09-08,0
INV-2024-0020,2024-01-23,1,2024-03-08,Net 45,45,USD,V064,Swift Labs Inc,"6128 Market St, Chicago, FL 50631",billing@swift-labs.com,OH-7356228,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",17,10467.51,9.0,942.08,11409.59,2024-03-08,0
INV-2023-0105,2023-05-21,5,2023-07-05,Net 45,45,USD,V026,Titan Partners Co,"5010 Enterprise Ave, New York, IL 71642",billing@titan-partners.com,ED-1423570,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",4,37959.2,8.5,3226.53,41185.73,2023-08-14,1
INV-2022-0168,2022-09-16,9,2022-10-31,Net 45,45,USD,V085,Nexus Security Inc,"3286 Commerce Blvd, Atlanta, WA 70774",billing@nexus-security.com,IV-3245909,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",20,43593.63,7.5,3269.52,46863.15,2022-10-31,0
INV-2022-0045,2022-02-23,2,2022-03-25,Net 30,30,USD,V040,Elite Tech Co,"6369 Tech Park Way, Atlanta, GA 90719",billing@elite-tech.com,KV-2072647,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",17,1844.79,6.25,115.3,1960.09,2022-03-28,1
INV-2024-0264,2024-12-06,12,2025-02-04,Net 60,60,USD,V072,Elite Supplies LLC,"8170 Industrial Dr, Houston, TX 16783",billing@elite-supplies.com,KL-1996530,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,19841.05,7.5,1488.08,21329.13,2025-02-27,1
INV-2023-0262,2023-12-28,12,2024-02-11,Net 45,45,USD,V089,Delta Energy Group,"6236 Enterprise Ave, Miami, AZ 69052",billing@delta-energy.com,QZ-9752084,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,5123.69,8.25,422.7,5546.39,2024-02-11,0
INV-2023-0229,2023-11-20,11,2023-12-20,Net 30,30,USD,V012,Beacon Tech LLC,"517 Tech Park Way, Atlanta, GA 13267",billing@beacon-tech.com,ZU-3922097,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,14713.33,8.0,1177.07,15890.4,2023-12-20,0
INV-2024-0248,2024-11-09,11,2025-01-08,Net 60,60,USD,V085,Nexus Security Inc,"3286 Commerce Blvd, Atlanta, WA 70774",billing@nexus-security.com,IV-3245909,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",9,20100.54,8.5,1708.55,21809.09,2025-01-08,0
INV-2023-0040,2023-02-23,2,2023-04-24,Net 60,60,USD,V042,Summit Capital Co,"5685 Venture Blvd, New York, IL 49749",billing@summit-capital.com,AE-3245131,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",20,28112.1,7.0,1967.85,30079.95,2023-04-27,1
INV-2023-0230,2023-11-21,11,2024-01-05,Net 45,45,USD,V003,Global Logistics LLC,"9032 Venture Blvd, San Francisco, GA 11150",billing@global-logistics.com,IL-7095929,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,8858.28,8.5,752.95,9611.23,2024-01-06,1
INV-2024-0088,2024-04-29,4,2024-05-14,Net 15,15,USD,V008,Apex Security LLC,"9923 Commerce Blvd, Chicago, IL 26364",billing@apex-security.com,DP-2100567,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",16,8029.16,8.0,642.33,8671.49,2024-05-14,0
INV-2022-0049,2022-03-03,3,2022-05-02,Net 60,60,USD,V019,Pioneer Marketing Co,"5261 Venture Blvd, Miami, AZ 19348",billing@pioneer-marketing.com,CW-3276360,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",9,40278.38,8.5,3423.66,43702.04,2022-05-03,1
INV-2022-0143,2022-08-04,8,2022-08-19,Net 15,15,USD,V063,Bright Capital Inc,"1050 Commerce Blvd, Los Angeles, OH 69201",billing@bright-capital.com,JE-8583354,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",13,16489.05,8.0,1319.12,17808.17,2022-08-19,0
INV-2022-0005,2022-01-03,1,2022-02-17,Net 45,45,USD,V095,Pacific Supplies Group,"2422 Enterprise Ave, Dallas, TX 59481",billing@pacific-supplies.com,YW-8599600,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,28207.91,6.25,1762.99,29970.9,2022-03-09,1
INV-2022-0117,2022-06-09,6,2022-07-09,Net 30,30,USD,V034,Summit Ventures Co,"4909 Venture Blvd, Austin, TX 66397",billing@summit-ventures.com,IN-7195200,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,48686.14,8.0,3894.89,52581.03,2022-07-09,0
INV-2024-0039,2024-02-20,2,2024-03-21,Net 30,30,USD,V050,Alpha Logistics Inc,"1560 Business Pkwy, San Francisco, OH 11605",billing@alpha-logistics.com,WP-3255363,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,38099.33,6.25,2381.21,40480.54,2024-05-04,1
INV-2024-0119,2024-06-11,6,2024-06-26,Net 15,15,USD,V073,Acme Systems Group,"3672 Innovation Rd, Dallas, TX 47148",billing@acme-systems.com,KV-6786265,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",2,41053.13,8.0,3284.25,44337.38,2024-07-22,1
INV-2022-0223,2022-11-25,11,2023-01-24,Net 60,60,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,12373.77,8.0,989.9,13363.67,2023-01-24,0
INV-2023-0156,2023-08-03,8,2023-09-17,Net 45,45,USD,V051,Summit Cloud Inc,"8534 Innovation Rd, San Francisco, FL 19111",billing@summit-cloud.com,FB-8643603,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,37566.9,6.25,2347.93,39914.83,2023-09-17,0
INV-2024-0165,2024-08-09,8,2024-08-24,Net 15,15,USD,V022,Acme Capital Inc,"8802 Corporate Ln, Atlanta, FL 45909",billing@acme-capital.com,SL-9415398,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,40406.7,8.5,3434.57,43841.27,2024-08-24,0
INV-2023-0195,2023-09-27,9,2023-10-12,Net 15,15,USD,V035,Pioneer Parts Co,"816 Market St, Dallas, TX 55543",billing@pioneer-parts.com,BH-9896761,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",20,37095.09,7.0,2596.66,39691.75,2023-11-21,1
INV-2024-0204,2024-09-14,9,2024-10-29,Net 45,45,USD,V028,Pioneer Systems LLC,"5163 Business Pkwy, Chicago, IL 39703",billing@pioneer-systems.com,ZD-7655623,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",7,8773.03,8.0,701.84,9474.87,2024-11-06,1
INV-2024-0146,2024-07-09,7,2024-09-07,Net 60,60,USD,V087,Bright Energy LLC,"5575 Trade Center Dr, New York, CA 49952",billing@bright-energy.com,EY-6888997,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",3,34860.45,6.25,2178.78,37039.23,2024-09-22,1
INV-2024-0005,2024-01-08,1,2024-01-23,Net 15,15,USD,V063,Bright Capital Inc,"1050 Commerce Blvd, Los Angeles, OH 69201",billing@bright-capital.com,JE-8583354,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",3,38276.19,8.25,3157.79,41433.98,2024-01-23,0
INV-2022-0123,2022-06-19,6,2022-08-18,Net 60,60,USD,V014,Swift Parts Inc,"3067 Tech Park Way, Dallas, NY 95999",billing@swift-parts.com,DR-1070640,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,12021.78,6.25,751.36,12773.14,2022-08-18,0
INV-2023-0120,2023-06-05,6,2023-07-20,Net 45,45,USD,V077,Pioneer Data LLC,"6745 Commerce Blvd, Houston, OH 35522",billing@pioneer-data.com,DA-6517366,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,32713.04,8.5,2780.61,35493.65,2023-07-20,0
INV-2022-0038,2022-02-09,2,2022-03-26,Net 45,45,USD,V023,Titan Marketing LLC,"6077 Tech Park Way, Miami, NY 96188",billing@titan-marketing.com,MR-5984445,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",2,22629.25,8.5,1923.49,24552.74,2022-04-03,1
INV-2024-0167,2024-08-12,8,2024-09-26,Net 45,45,USD,V062,Vanguard Security LLC,"5667 Market St, Dallas, FL 35053",billing@vanguard-security.com,GD-7867100,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,48851.62,8.5,4152.39,53004.01,2024-09-26,0
INV-2024-0200,2024-09-10,9,2024-11-09,Net 60,60,USD,V025,Acme Supplies Group,"7676 Innovation Rd, Dallas, OH 77641",billing@acme-supplies.com,LM-5848287,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",14,45944.79,9.0,4135.03,50079.82,2024-11-28,1
INV-2024-0192,2024-09-01,9,2024-10-16,Net 45,45,USD,V051,Summit Cloud Inc,"8534 Innovation Rd, San Francisco, FL 19111",billing@summit-cloud.com,FB-8643603,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,35116.11,8.0,2809.29,37925.4,2024-10-23,1
