invoice_number,invoice_date,invoice_month,due_date,net_terms,payment_due_days,currency,vendor_id,vendor_name,vendor_address,vendor_email,tax_id,vendor_category,buyer_company,buyer_address,num_line_items,subtotal,tax_rate,tax_amount,amount_due,payment_received_date,is_late,epsilon
INV-2022-0176,2021-01-01,1,2021-04-01,Net 90,90,USD,V046,Titan Freight Co,"3445 Venture Blvd, New York, NY 44674",billing@titan-freight.com,OY-3319049,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,18091.54,8.25,1492.55,43312.59,2021-04-01,0,1.0
INV-2023-0005,2023-06-23,6,2023-08-16,Net 54,54,USD,V036,Delta Partners Corp,"4463 Commerce Blvd, New York, IL 34285",billing@delta-partners.com,YQ-6165679,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",39,38169.04,8.5,3244.37,1.0,2023-08-16,0,1.0
INV-2022-0173,2024-12-23,12,2024-12-24,Net 1,1,USD,V078,Beacon Legal LLC,"1581 Tech Park Way, Houston, TX 91974",billing@beacon-legal.com,RG-8449607,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,38054.48,8.0,3044.36,50671.22,2025-01-24,1,1.0
INV-2024-0149,2024-06-07,6,2024-08-06,Net 60,60,USD,V070,Swift Logistics Inc,"1954 Business Pkwy, Miami, NY 73374",billing@swift-logistics.com,UO-1318408,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",22,49818.55,8.0,3985.48,166027.51,2024-08-10,1,1.0
INV-2024-0145,2023-10-02,10,2023-11-13,Net 42,42,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,7322.23,8.5,622.39,1.0,2023-11-13,0,1.0
INV-2022-0233,2022-12-08,12,2023-01-11,Net 34,34,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,8760.81,8.0,700.86,1.0,2023-01-11,0,1.0
INV-2023-0018,2024-02-04,2,2024-03-15,Net 40,40,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",2,24308.16,8.5,2066.19,34151.88,2024-03-15,0,1.0
INV-2023-0153,2023-08-27,8,2023-08-28,Net 1,1,USD,V080,Vanguard Legal Group,"3154 Innovation Rd, Houston, NY 44911",billing@vanguard-legal.com,XN-8021855,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",11,28252.67,8.5,2401.48,34696.98,2023-08-28,0,1.0
INV-2022-0004,2022-12-16,12,2023-01-16,Net 31,31,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",43,13856.13,8.0,1108.49,17427.42,2023-02-04,1,1.0
INV-2023-0004,2022-09-09,9,2022-09-10,Net 1,1,USD,V022,Acme Capital Inc,"8802 Corporate Ln, Atlanta, FL 45909",billing@acme-capital.com,SL-9415398,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",44,37423.3,7.0,2619.63,26885.03,2022-09-10,0,1.0
INV-2022-0219,2023-11-05,11,2023-12-01,Net 26,26,USD,V031,Titan Capital LLC,"2971 Industrial Dr, San Francisco, GA 11015",billing@titan-capital.com,AV-9416320,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",17,22289.85,8.0,1783.19,42239.16,2024-01-03,1,1.0
INV-2022-0104,2021-08-17,8,2021-09-16,Net 30,30,USD,V018,Beacon Partners Group,"7292 Market St, San Francisco, FL 70566",billing@beacon-partners.com,PY-1787494,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,3595.84,8.0,287.67,1.0,2021-09-16,0,1.0
INV-2022-0190,2024-05-24,5,2024-05-25,Net 1,1,USD,V075,Titan Energy Co,"6804 Corporate Ln, Dallas, GA 12482",billing@titan-energy.com,XS-8433533,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",22,9087.26,8.5,772.42,18840.29,2024-05-25,0,1.0
INV-2023-0055,2022-08-31,8,2022-09-21,Net 21,21,USD,V047,Elite Energy Inc,"6329 Venture Blvd, Atlanta, TX 13596",billing@elite-energy.com,TY-1467010,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,20790.29,8.5,1767.17,81004.64,2022-09-21,0,1.0
INV-2023-0245,2022-06-27,6,2022-09-14,Net 79,79,USD,V009,Nexus Cloud Inc,"9187 Market St, Chicago, CA 21938",billing@nexus-cloud.com,AA-2404330,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",15,10545.35,8.0,843.63,32888.58,2022-09-17,1,1.0
INV-2024-0164,2023-04-16,4,2023-04-22,Net 6,6,USD,V077,Pioneer Data LLC,"6745 Commerce Blvd, Houston, OH 35522",billing@pioneer-data.com,DA-6517366,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",24,29497.6,8.5,2507.3,1.0,2023-05-09,1,1.0
INV-2023-0160,2025-06-07,6,2025-07-29,Net 52,52,USD,V051,Summit Cloud Inc,"8534 Innovation Rd, San Francisco, FL 19111",billing@summit-cloud.com,FB-8643603,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,13335.19,8.5,1133.49,1.0,2025-08-03,1,1.0
INV-2023-0026,2021-01-01,1,2021-03-16,Net 74,74,USD,V093,Delta Labs Corp,"7201 Industrial Dr, Atlanta, AZ 11524",billing@delta-labs.com,II-7984720,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",24,24304.85,8.25,2005.15,89639.53,2021-03-16,0,1.0
INV-2024-0069,2025-12-31,12,2026-01-01,Net 1,1,USD,V005,Apex Logistics Co,"7104 Corporate Ln, Austin, AZ 77215",billing@apex-logistics.com,SE-9744220,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",26,31742.95,8.5,2698.15,11048.32,2026-01-01,0,1.0
INV-2024-0178,2023-09-21,9,2023-09-22,Net 1,1,USD,V035,Pioneer Parts Co,"816 Market St, Dallas, TX 55543",billing@pioneer-parts.com,BH-9896761,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",49,38392.89,8.5,3263.4,99190.55,2023-11-05,1,1.0
INV-2022-0127,2022-06-29,6,2022-08-17,Net 49,49,USD,V060,Elite Parts Co,"6665 Commerce Blvd, Miami, TX 29096",billing@elite-parts.com,QA-4681262,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,33019.28,8.0,2641.54,1.0,2022-09-10,1,1.0
INV-2022-0048,2022-02-25,2,2022-05-10,Net 74,74,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",16,12725.45,8.0,1018.04,31396.16,2022-05-10,0,1.0
INV-2024-0155,2021-01-01,1,2021-01-23,Net 22,22,USD,V010,Prime Cloud Group,"8102 Commerce Blvd, Dallas, WA 79449",billing@prime-cloud.com,KL-3248988,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",26,38090.21,7.0,2666.31,1.0,2021-01-23,0,1.0
INV-2023-0248,2025-10-13,10,2026-01-11,Net 90,90,USD,V070,Swift Logistics Inc,"1954 Business Pkwy, Miami, NY 73374",billing@swift-logistics.com,UO-1318408,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",9,24634.77,7.5,1847.61,43790.22,2026-02-23,1,1.0
INV-2024-0063,2023-10-03,10,2023-10-04,Net 1,1,USD,V057,Pioneer Consulting Inc,"1704 Industrial Dr, San Francisco, WA 80792",billing@pioneer-consulting.com,BL-2384418,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",9,16101.88,7.5,1207.64,30382.54,2023-10-19,1,1.0
INV-2022-0010,2023-12-10,12,2024-01-20,Net 41,41,USD,V082,Acme Labs Inc,"2298 Enterprise Ave, Austin, NY 23859",billing@acme-labs.com,RB-3008960,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,48188.02,9.0,4336.92,276223.76,2024-01-20,0,1.0
INV-2024-0273,2025-06-15,6,2025-07-06,Net 21,21,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,39491.79,8.5,3356.8,92212.07,2025-07-06,0,1.0
INV-2022-0150,2022-12-23,12,2022-12-24,Net 1,1,USD,V058,Alpha Parts Inc,"5515 Business Pkwy, Chicago, CO 68596",billing@alpha-parts.com,NC-1873172,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,7675.77,9.0,690.82,141460.64,2023-01-17,1,1.0
INV-2023-0145,2024-08-25,8,2024-09-26,Net 32,32,USD,V049,Global Freight Corp,"2572 Enterprise Ave, New York, FL 64553",billing@global-freight.com,BX-2314532,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",41,48614.26,8.0,3889.14,1.0,2024-11-06,1,1.0
INV-2024-0033,2022-11-09,11,2022-11-10,Net 1,1,USD,V033,Nexus Tech Inc,"504 Corporate Ln, New York, TX 70100",billing@nexus-tech.com,EF-4196340,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",3,21190.5,6.25,1324.41,7291.08,2022-11-10,0,1.0
INV-2024-0108,2023-09-28,9,2023-11-01,Net 34,34,USD,V033,Nexus Tech Inc,"504 Corporate Ln, New York, TX 70100",billing@nexus-tech.com,EF-4196340,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",6,20496.9,7.5,1537.27,1.0,2023-11-23,1,1.0
INV-2022-0151,2022-06-25,6,2022-06-26,Net 1,1,USD,V049,Global Freight Corp,"2572 Enterprise Ave, New York, FL 64553",billing@global-freight.com,BX-2314532,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,4545.4,8.5,386.36,1.0,2022-06-26,0,1.0
INV-2024-0075,2022-04-24,4,2022-04-28,Net 4,4,USD,V074,Summit Systems LLC,"5688 Commerce Blvd, Miami, TX 56163",billing@summit-systems.com,IQ-3412149,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",4,47312.06,6.25,2957.0,58147.79,2022-04-28,0,1.0
INV-2022-0146,2023-01-01,1,2023-04-01,Net 90,90,USD,V098,Titan Supplies Co,"3257 Venture Blvd, Miami, IL 34070",billing@titan-supplies.com,IS-9593223,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,23278.03,9.0,2095.02,32114.11,2023-04-01,0,1.0
INV-2024-0154,2024-04-14,4,2024-07-11,Net 88,88,USD,V088,Sterling Tech Group,"1722 Enterprise Ave, Seattle, OH 71396",billing@sterling-tech.com,YF-8369434,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,6040.83,7.5,453.06,1.0,2024-07-11,0,1.0
INV-2024-0020,2023-11-18,11,2024-01-07,Net 50,50,USD,V064,Swift Labs Inc,"6128 Market St, Chicago, FL 50631",billing@swift-labs.com,OH-7356228,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",29,10467.51,9.0,942.08,6120.25,2024-01-07,0,1.0
INV-2023-0105,2022-10-23,10,2022-12-25,Net 63,63,USD,V026,Titan Partners Co,"5010 Enterprise Ave, New York, IL 71642",billing@titan-partners.com,ED-1423570,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,37959.2,8.5,3226.53,1.0,2023-02-03,1,1.0
INV-2022-0168,2023-08-03,8,2023-10-05,Net 63,63,USD,V085,Nexus Security Inc,"3286 Commerce Blvd, Atlanta, WA 70774",billing@nexus-security.com,IV-3245909,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,43593.63,7.5,3269.52,1.0,2023-10-05,0,1.0
INV-2022-0045,2022-09-06,9,2022-10-16,Net 40,40,USD,V040,Elite Tech Co,"6369 Tech Park Way, Atlanta, GA 90719",billing@elite-tech.com,KV-2072647,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",14,1844.79,6.25,115.3,32531.58,2022-10-19,1,1.0
INV-2024-0264,2024-10-13,10,2024-12-14,Net 62,62,USD,V072,Elite Supplies LLC,"8170 Industrial Dr, Houston, TX 16783",billing@elite-supplies.com,KL-1996530,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,19841.05,7.5,1488.08,56699.61,2025-01-06,1,1.0
INV-2023-0262,2023-11-11,11,2023-11-12,Net 1,1,USD,V089,Delta Energy Group,"6236 Enterprise Ave, Miami, AZ 69052",billing@delta-energy.com,QZ-9752084,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",6,5123.69,8.25,422.7,1.0,2023-11-12,0,1.0
INV-2023-0229,2023-08-07,8,2023-08-08,Net 1,1,USD,V012,Beacon Tech LLC,"517 Tech Park Way, Atlanta, GA 13267",billing@beacon-tech.com,ZU-3922097,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,14713.33,8.0,1177.07,1.0,2023-08-08,0,1.0
INV-2024-0248,2024-07-11,7,2024-10-09,Net 90,90,USD,V085,Nexus Security Inc,"3286 Commerce Blvd, Atlanta, WA 70774",billing@nexus-security.com,IV-3245909,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,20100.54,8.5,1708.55,1.0,2024-10-09,0,1.0
INV-2023-0040,2021-07-08,7,2021-07-09,Net 1,1,USD,V042,Summit Capital Co,"5685 Venture Blvd, New York, IL 49749",billing@summit-capital.com,AE-3245131,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,28112.1,7.0,1967.85,68729.27,2021-07-12,1,1.0
INV-2023-0230,2024-05-01,5,2024-06-03,Net 33,33,USD,V003,Global Logistics LLC,"9032 Venture Blvd, San Francisco, GA 11150",billing@global-logistics.com,IL-7095929,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,8858.28,8.5,752.95,45750.5,2024-06-04,1,1.0
INV-2024-0088,2021-06-16,6,2021-06-17,Net 1,1,USD,V008,Apex Security LLC,"9923 Commerce Blvd, Chicago, IL 26364",billing@apex-security.com,DP-2100567,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",9,8029.16,8.0,642.33,16982.63,2021-06-17,0,1.0
INV-2022-0049,2022-02-07,2,2022-05-08,Net 90,90,USD,V019,Pioneer Marketing Co,"5261 Venture Blvd, Miami, AZ 19348",billing@pioneer-marketing.com,CW-3276360,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,40278.38,8.5,3423.66,93966.25,2022-05-09,1,1.0
INV-2022-0143,2021-01-01,1,2021-01-24,Net 23,23,USD,V063,Bright Capital Inc,"1050 Commerce Blvd, Los Angeles, OH 69201",billing@bright-capital.com,JE-8583354,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,16489.05,8.0,1319.12,141493.36,2021-01-24,0,1.0
INV-2022-0005,2024-05-11,5,2024-08-09,Net 90,90,USD,V095,Pacific Supplies Group,"2422 Enterprise Ave, Dallas, TX 59481",billing@pacific-supplies.com,YW-8599600,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,28207.91,6.25,1762.99,25652.14,2024-08-29,1,1.0
INV-2022-0117,2023-10-12,10,2023-11-16,Net 35,35,USD,V034,Summit Ventures Co,"4909 Venture Blvd, Austin, TX 66397",billing@summit-ventures.com,IN-7195200,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",23,48686.14,8.0,3894.89,123163.98,2023-11-16,0,1.0
INV-2024-0039,2023-09-01,9,2023-09-28,Net 27,27,USD,V050,Alpha Logistics Inc,"1560 Business Pkwy, San Francisco, OH 11605",billing@alpha-logistics.com,WP-3255363,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",17,38099.33,6.25,2381.21,36963.73,2023-11-11,1,1.0
INV-2024-0119,2024-05-30,5,2024-08-28,Net 90,90,USD,V073,Acme Systems Group,"3672 Innovation Rd, Dallas, TX 47148",billing@acme-systems.com,KV-6786265,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,41053.13,8.0,3284.25,55046.81,2024-09-23,1,1.0
INV-2022-0223,2024-06-05,6,2024-09-03,Net 90,90,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,12373.77,8.0,989.9,1.0,2024-09-03,0,1.0
INV-2023-0156,2021-01-01,1,2021-01-02,Net 1,1,USD,V051,Summit Cloud Inc,"8534 Innovation Rd, San Francisco, FL 19111",billing@summit-cloud.com,FB-8643603,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,37566.9,6.25,2347.93,59759.98,2021-01-02,0,1.0
INV-2024-0165,2023-10-15,10,2023-10-24,Net 9,9,USD,V022,Acme Capital Inc,"8802 Corporate Ln, Atlanta, FL 45909",billing@acme-capital.com,SL-9415398,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",6,40406.7,8.5,3434.57,43509.27,2023-10-24,0,1.0
INV-2023-0195,2024-01-01,1,2024-01-17,Net 16,16,USD,V035,Pioneer Parts Co,"816 Market St, Dallas, TX 55543",billing@pioneer-parts.com,BH-9896761,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,37095.09,7.0,2596.66,28982.68,2024-02-26,1,1.0
INV-2024-0204,2025-04-28,4,2025-06-19,Net 52,52,USD,V028,Pioneer Systems LLC,"5163 Business Pkwy, Chicago, IL 39703",billing@pioneer-systems.com,ZD-7655623,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",7,8773.03,8.0,701.84,1.0,2025-06-27,1,1.0
INV-2024-0146,2025-09-05,9,2025-10-11,Net 36,36,USD,V087,Bright Energy LLC,"5575 Trade Center Dr, New York, CA 49952",billing@bright-energy.com,EY-6888997,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,34860.45,6.25,2178.78,59198.42,2025-10-26,1,1.0
INV-2024-0005,2024-01-25,1,2024-02-20,Net 26,26,USD,V063,Bright Capital Inc,"1050 Commerce Blvd, Los Angeles, OH 69201",billing@bright-capital.com,JE-8583354,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,38276.19,8.25,3157.79,51480.0,2024-02-20,0,1.0
INV-2022-0123,2021-10-06,10,2021-12-15,Net 70,70,USD,V014,Swift Parts Inc,"3067 Tech Park Way, Dallas, NY 95999",billing@swift-parts.com,DR-1070640,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",38,12021.78,6.25,751.36,1.0,2021-12-15,0,1.0
INV-2023-0120,2024-03-29,3,2024-04-20,Net 22,22,USD,V077,Pioneer Data LLC,"6745 Commerce Blvd, Houston, OH 35522",billing@pioneer-data.com,DA-6517366,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,32713.04,8.5,2780.61,1.0,2024-04-20,0,1.0
INV-2022-0038,2021-01-31,1,2021-03-25,Net 53,53,USD,V023,Titan Marketing LLC,"6077 Tech Park Way, Miami, NY 96188",billing@titan-marketing.com,MR-5984445,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,22629.25,8.5,1923.49,1.0,2021-04-02,1,1.0
INV-2024-0167,2025-03-14,3,2025-06-07,Net 85,85,USD,V062,Vanguard Security LLC,"5667 Market St, Dallas, FL 35053",billing@vanguard-security.com,GD-7867100,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,48851.62,8.5,4152.39,141914.72,2025-06-07,0,1.0
